point_of_sale_id,geo_zone,country
715,Provincia de Buenos Aires,AR
716,Corrientes,AR
717,Santiago del Estero,AR
718,Santiago del Estero,AR
719,Chubut,AR
720,Provincia de Buenos Aires,AR
721,CDMX,MX
722,CDMX,MX
723,Provincia de Buenos Aires,AR
724,CDMX,MX
725,CDMX,MX
726,Provincia de Buenos Aires,AR
727,Santa Fe,AR
728,Corrientes,AR
729,Santa Fe,AR
730,Provincia de Buenos Aires,AR
731,Santa Fe,AR
732,Santa Fe,AR
733,Santa Fe,AR
734,Santa Fe,AR
735,Entre Ríos,AR
736,Buenos Aires,AR
737,Santiago del Estero,AR
738,Córdoba,AR
739,Provincia de Buenos Aires,AR
740,Neuquén,AR
741,Santa Fe,AR
742,Santiago del Estero,AR
743,Santa Fe,AR
744,Provincia de Buenos Aires,AR
745,Provincia de Buenos Aires,AR
746,Santiago del Estero,AR
747,Provincia de Buenos Aires,AR
748,Provincia de Buenos Aires,AR
749,Neuquén,AR
750,Buenos Aires,AR
751,Tierra del Fuego,AR
752,Tierra del Fuego,AR
753,Tierra del Fuego,AR
754,Tierra del Fuego,AR
755,Formosa,AR
756,Santa Fe,AR
757,Río Negro,AR
758,La Pampa,AR
759,Chubut,AR
760,Chubut,AR
761,Chubut,AR
762,Provincia de Buenos Aires,AR
763,Córdoba,AR
764,Santa Fe,AR
765,Santa Fe,AR
766,Provincia de Buenos Aires,AR
767,Córdoba,AR
768,Buenos Aires,AR
769,Córdoba,AR
770,Córdoba,AR
771,Córdoba,AR
772,Córdoba,AR
773,Córdoba,AR
774,Córdoba,AR
775,La Pampa,AR
776,Córdoba,AR
777,Córdoba,AR
778,Provincia de Buenos Aires,AR
779,Santa Fe,AR
780,Córdoba,AR
781,Córdoba,AR
782,Santa Fe,AR
783,Córdoba,AR
784,Córdoba,AR
785,Córdoba,AR
786,X5000 Córdoba,AR
787,Córdoba,AR
788,Córdoba,AR
789,Chubut,AR
790,Provincia de Buenos Aires,AR
791,Córdoba,AR
792,Río Negro,AR
793,Río Negro,AR
794,Córdoba,AR
795,Córdoba,AR
796,Provincia de Buenos Aires,AR
797,Córdoba,AR
798,Córdoba,AR
799,La Pampa,AR
800,Córdoba,AR
801,Córdoba,AR
802,Córdoba,AR
803,Entre Ríos,AR
804,Provincia de Buenos Aires,AR
805,Provincia de Buenos Aires,AR
806,Entre Ríos,AR
807,San Luis,AR
808,Provincia de Buenos Aires,AR
809,Provincia de Buenos Aires,AR
810,Provincia de Buenos Aires,AR
811,Provincia de Buenos Aires,AR
812,Provincia de Buenos Aires,AR
813,Córdoba,AR
814,Provincia de Buenos Aires,AR
815,Provincia de Buenos Aires,AR
816,Provincia de Buenos Aires,AR
817,Provincia de Buenos Aires,AR
818,Provincia de Buenos Aires,AR
819,Provincia de Buenos Aires,AR
820,Provincia de Buenos Aires,AR
821,Provincia de Buenos Aires,AR
822,Provincia de Buenos Aires,AR
823,Provincia de Buenos Aires,AR
824,Provincia de Buenos Aires,AR
825,Provincia de Buenos Aires,AR
826,Buenos Aires,AR
827,Provincia de Buenos Aires,AR
828,Provincia de Buenos Aires,AR
829,Provincia de Buenos Aires,AR
830,Provincia de Buenos Aires,AR
831,Provincia de Buenos Aires,AR
832,Provincia de Buenos Aires,AR
833,Provincia de Buenos Aires,AR
834,CABA,AR
835,Santa Fe,AR
836,Santa Fe,AR
837,Chaco,AR
838,Chaco,AR
839,Córdoba,AR
840,Santa Fe,AR
841,Río Negro,AR
842,Misiones,AR
843,Río Negro,AR
844,Provincia de Buenos Aires,AR
845,Córdoba,AR
846,Corrientes,AR
847,Misiones,AR
848,Misiones,AR
849,Santa Fe,AR
850,Córdoba,AR
851,Misiones,AR
852,Provincia de Buenos Aires,AR
853,Córdoba,AR
854,Entre Ríos,AR
855,Córdoba,AR
856,Córdoba,AR
857,Córdoba,AR
858,Santa Fe,AR
859,Santa Fe,AR
860,Provincia de Buenos Aires,AR
861,Provincia de Buenos Aires,AR
862,Provincia de Buenos Aires,AR
863,Provincia de Buenos Aires,AR
864,Provincia de Buenos Aires,AR
865,Córdoba,AR
866,Córdoba,AR
867,Misiones,AR
868,Córdoba,AR
869,Río Negro,AR
870,Provincia de Buenos Aires,AR
871,Córdoba,AR
872,Córdoba,AR
873,Mendoza,AR
874,Mendoza,AR
875,Santa Fe,AR
876,Catamarca,AR
877,Buenos Aires,AR
878,Buenos Aires,AR
879,Buenos Aires Province,AR
880,Buenos Aires,AR
881,Provincia de Buenos Aires,AR
882,Provincia de Buenos Aires,AR
883,Provincia de Buenos Aires,AR
884,Santa Fe,AR
885,Río Negro,AR
886,Santa Fe,AR
887,Santa Fe,AR
888,Santa Fe,AR
889,Provincia de Buenos Aires,AR
890,Misiones,AR
891,CABA,AR
892,CABA,AR
893,Provincia de Buenos Aires,AR
894,Provincia de Buenos Aires,AR
895,Provincia de Buenos Aires,AR
896,Provincia de Buenos Aires,AR
897,Provincia de Buenos Aires,AR
898,Provincia de Buenos Aires,AR
899,Provincia de Buenos Aires,AR
900,CABA,AR
901,CABA,AR
902,Provincia de Buenos Aires,AR
903,Provincia de Buenos Aires,AR
904,Provincia de Buenos Aires,AR
905,Provincia de Buenos Aires,AR
906,Buenos Aires,AR
907,Provincia de Buenos Aires,AR
908,Provincia de Buenos Aires,AR
909,Provincia de Buenos Aires,AR
910,CABA,AR
911,CABA,AR
912,Buenos Aires,AR
913,Provincia de Buenos Aires,AR
914,Provincia de Buenos Aires,AR
915,Santa Fe,AR
916,Provincia de Buenos Aires,AR
917,Tucumán,AR
918,CABA,AR
919,CABA,AR
920,CABA,AR
921,CABA,AR
922,CABA,AR
923,CABA,AR
924,Chubut,AR
925,Chubut,AR
926,Provincia de Buenos Aires,AR
927,La Rioja,AR
928,Río Negro,AR
929,San Luis,AR
930,Provincia de Buenos Aires,AR
931,Buenos Aires,AR
932,Provincia de Buenos Aires,AR
933,Córdoba,AR
934,Santa Fe,AR
935,Córdoba,AR
936,Salta,AR
937,Mendoza,AR
938,Catamarca,AR
939,Corrientes,AR
940,Provincia de Buenos Aires,AR
941,Provincia de Buenos Aires,AR
942,Chaco,AR
943,Mendoza,AR
944,Provincia de Buenos Aires,AR
945,Catamarca,AR
946,Catamarca,AR
947,Catamarca,AR
948,Catamarca,AR
949,Catamarca,AR
950,Catamarca,AR
951,Catamarca,AR
952,Catamarca,AR
953,Catamarca,AR
954,Catamarca,AR
955,Catamarca,AR
956,Catamarca,AR
957,La Rioja,AR
958,La Rioja,AR
959,La Rioja,AR
960,La Rioja,AR
961,La Rioja,AR
962,La Rioja,AR
963,Mendoza,AR
964,Santa Fe,AR
965,Mendoza,AR
966,Córdoba,AR
967,La Rioja,AR
968,Provincia de Buenos Aires,AR
969,CABA,AR
970,Santa Fe,AR
971,Córdoba,AR
972,Córdoba,AR
973,Santa Fe,AR
974,Santa Fe,AR
975,Provincia de Buenos Aires,AR
976,Córdoba,AR
977,Santa Fe,AR
978,Santiago del Estero,AR
979,Córdoba,AR
980,Santiago del Estero,AR
981,Santiago del Estero,AR
982,Entre Ríos,AR
983,Mendoza,AR
984,Santa Fe,AR
985,Chubut,AR
986,Entre Ríos,AR
987,Santiago del Estero,AR
988,Santiago del Estero,AR
